UP_list	DOWN_list
NDN	THOC5
OPN3	NFKBIL1
RBP2	KDELR2
FAS	KCNQ1OT1
ERMP1	MUC1
SGCE	GSK3B
CST7	PRCC
MYH2	SNORD99
CD36	KIAA0753
THBD	AC010136.2
LMCD1	RP11-383J24.5
GLS	CES4A
MTMR10	FBXO38
CLIC5	CCNE1
CCSER2	TNRC6B
RBMS3	FAM208A
SNRK	NOVA2
SNAI1	XXbac-BPGBPG55C20.4
SYNE3	ZMYND8
KATNBL1	COL1A1
PHACTR3	E4F1
KANK3	YAE1D1
CLEC3B	RSRP1
OPTN	CBX5
RAMP2	PHF8
C8orf88	TANC2
MYLK	SEZ6L2
PDLIM3	CTB-164N12.1
GABARAPL1	ST14
INPP5K	RHOC
RBM24	ZNF615
SIRPB1	FOXRED2
CPE	FOXK2
FGFR1	ZNF865
S1PR1	GPR160
DAPK2	STAP2
NRP2	ACTR3B
AMD1	SLC26A6
CARD6	NPLOC4
RARRES1	RP5-1043L13.1
DPT	CCDC57
TCF21	COASY
RP2	NOL6
PHLDB2	EARS2
SOX7	SUMO3
CORO1C	SATB2
GJA5	AMACR
KLRC1	KDELR3
CD93	pri-3-hsa-mir-877
PTPN14	IRF2BP2
DMD	ORC5
VSIG4	DPP9
PLSCR4	PPP1R9A
ZFPM2	NINL
CCNH	LRRC6
IL6ST	ABCG2
EDN1	PRR29
SSFA2	PMVK
STRN4	BNIPL
NDFIP2	ELOF1
MEF2C	JADE2
RERG	SPTLC3
CSF1	TLK2
OSBPL11	CTD-2349P21.5
FAS	CLK2
SPRYD7	FKBP2
CTC-510F12.4	WWC1
ANGPTL1	MCM3APAS
FENDRR	TMTC4
NEDD9	ADAM15
EIF2S1	GSTZ1
GULP1	GTF2I
RP11-14D22.5	IFT27
WFDC1	TRIT1
IL17D	FBXO38
RDX	INPP4A
PKIG	RRNAD1
MACF1	RPL8
PEG10	SPSB3
PDE3B	PPT2
SYT15	TIA1
hsa-mir-466	STX4
ANXA1	CRCP
RNF122	SLC25A1
ADAMTS9	ANKS3
LRRC32	UQCR10
PLEKHO2	H2AFV
GATA3	pri-3-hsa-mir-6765
NPNT	MECOM
VEGFA	FKBP2
NUMBL	PIN4
AC007327.5	MLPH
MS4A4E	AGPAT2
AQP1	STK32C
ACOT9	PKP2
PKIG	RP11-480D4.3
DMD	MTA3
WFDC11	IFT27
AC064834.2	NDUFA10
LIMS1	AARS
MT1M	pri-3-hsa-mir-6826
DENND4A	HSPB11
VPS29	TRMU
ADH1B	AXIN1
TUBB6	PATJ
CXCL3	GPATCH4
GZMA	RBFA
CASP1	HELZ2
PPARG	ANK1
TNFRSF11B	CTD-2552B11.4
SCNN1G	AC004066.5
ZNF7	CCNL2
ZFP36L2	FNBP1L
AKAP5	PDDC1
EDNRA	CCDC30
TEK	STX16
CLEC7A	CREBZF
ANOS1	TSC2
ST6GALNAC6	GTF2I
PLAGL1	PTK2
TMEM237	C1orf50
RGS9	OR56A1
pri-3-hsa-mir-30c-2	RP3-395M20.8
NCKAP5	MORC2
FAM118A	DSG2
SEC14L1	CARHSP1
PFKFB2	PPFIBP2
LMO7	GFPT1
A2M	LRRC8E
PLEKHA2	POLRMT
NFE2L2	POU5F1
SOWAHC	RANBP9
CHRDL1	NCAPG2
SGPP1	VPS54
RAB32	HDGF
ACSS1	TESC
DDX3X	PPP1R12B
VSIG4	AC026740.1
NFIB	HEMK1
QDPR	SNORA71B
NXPE3	PRB1
FAM89A	FLNB
ADGRG6	NAV2
AXL	GSDMB
ARID5B	LL0XNC01-157D4.1
TIAM1	EXOC7
CCSER2	E2F3
CHN1	CSNK1D
KLF6	FMN1
SEC22C	CXCL17
EDIL3	PHRF1
CYB5R2	ZFP41
PLSCR4	NTMT1
TCP11L2	PRPF40B
MS4A7	PRPF3
TMEM55A	CCNL2
GNLY	DNMT3A
REP15	RAB25
CXCL16	ASPH
STOM	DNAJA3
IHH	RP11-624J6.2
ANO6	EIF4G3
LIMS2	pri-3-hsa-mir-4771-1
PAPSS1	DBF4B
TFRC	CLN3
GJC2	PIBF1
GDF10	pri-3-hsa-mir-6781
HIGD1B	KB-1572G7.1
FSTL1	CENPF
FRMD4B	HLTF
ADAMTS15	MAPK13
DPYSL2	FLVCR1-AS1
ATG7	SYTL2
NEXN	PPP1R13L
SEC11A	RBCK1
EVA1C	ZFAND3
SBDS	ABHD11
QKI	BBS9
ITGB1	C6orf141
RASSF9	RP5-1033H22.2
SNX19	RNF216
SFTPA2	C16orf13
EDN1	LIG3
SAMD4A	RP11-244N9.6
MAP2	GAS7
HCRT	DAP
YTHDC1	C17orf75
STIM2	TPO
IL15RA	ANKRD46
SRGN	OGFR
CARD16	CSTF3
HIGD1B	ZNF789
TAX1BP3	C12orf57
NPNT	ADAMTS13
TMEM128	IFT27
SDCBP	NAT9
ZEB2	CATG00000083541.1
SPOCK2	SMPDL3B
EEF1AKMT1	FGFRL1
FGFR2	ADAM28
NCOA7	WDR77
ARHGAP23	BCL7B
ECSCR	RRBP1
EFNB1	RP1-80B9.2
GPBP1	RABL6
TM6SF1	ELF3
MAMDC2	SNHG8
GIMAP4	IGFALS
ZFP36	PCBP2
PGAP2	EXOC3
FGFR2	AP1G1
RP11-266E14.1	PPP1R9A
C7	ANP32E
RP11-291L15.2	NFASC
KCNMB4	TARBP2
AC011526.1	KAZN
DERL2	TPCN1
44814	KMT2D
IL15RA	ENPP3
PSMA1	CXADR
MCMBP	DOHH
RAB9A	TRIT1
DSEL	ARTN
GPR153	SCAMP3
XAGE2	LDLRAD1
DENND4A	APOLD1
SYT15	KRT10
FAM189A2	RP11-727A23.5
ITGB1	XAGE1B
FBXL5	TRPT1
LEPR	PGM2L1
PPP3CB	SNRPD3
PEAK1	SSRP1
DCTN6	C19orf18
AMD1	PIGR
RTN4	RPS6KA2
LOC729603	GMPPB
TMEM9B	WDR37
FAM174A	ZMYM1
BCL2A1	MED1
KLHL15	FMO5
LOC441601	GYLTL1B
ADGRE5	STX16
TRPV2	ACIN1
MCL1	RPS2
ANO6	ZNF605
CD70	LTBP3
CLEC10A	PLEKHM1
NXPE3	WWP2
NAP1L2	CTD-2619J13.14
MIR22HG	RP11-383J24.5
CGRRF1	C1orf27
ROBO4	ING5
ZNF800	DSP
CHURC1-FNTB	CATG00000002338.1
MDFIC	OXR1
TACC1	ZNF618
RPAIN	ZDHHC11
GCOM1	PARP1
PDLIM5	STAP2
PIK3R5	ZNF790
RFX3	SPINT2
TFRC	TCOF1
C12orf57	GLYR1
VAPA	ANKRD22
TNKS2	EXOC7
JAM2	ARSD
SEMA6D	PRRC2C
ADAMTSL4	CCDC34
SSTR1	KIAA1217
DNAJA2	WDR74
SETD9	CTD-2575K13.6
RHOQ	EXOC4
IL33	SYTL3
DOCK11	B4GALT3
RASGEF1B	RRBP1
SPTBN1	SHMT1
44814	TIA1
G0S2	BECN1
SEC24B	UQCC2
DYNLT3	PHTF2
CD300C	FKBP4
PTPRB	EIF4E
FAM189A2	CDK5RAP2
MAP4K5	RP11-85F14.5
HAUS2	PRR13
CTC-273B12.5	MUC1
SDC2	PHF8
MT1E	ZNF346
IL15RA	BAD
FBXO30	ZNF628
BLID	IRX3
NFKBIA	NR2C2AP
TNPO1	TCF12
C14orf132	THBS3
HACD1	TRIP12
PLEKHH2	C6orf141
CDC37L1	KRT19
CD55	MTX3
CSTA	ALCAM
TNIK	MECR
GPC3	EFNA4
SETD9	KHK
UBASH3B	DENND6B
BNIP2	HNF1B
PRPS1L1	RNF40
LIMCH1	C16orf46
CATG00000057936.1	AP1B1
CTNNAL1	TGIF1
SH3BP5	SPHK2
CXorf36	CHTOP
HIF3A	RP6-206I17.2
ARL13B	LRIF1
IL33	FLNB
C21orf91	PCNP
CATG00000002734.1	ODF2
NDRG4	CLNS1A
NIN	ZSCAN26
CNTLN	SUMF2
TMEM95	XPR1
STOM	SCUBE2
SSBP2	BRD8
SCARF1	HM13
C20orf202	RP11-691H4.1
CASP1	ATRAID
PZP	KDM1A
ACER3	MDK
TIMP3	RPGRIP1L
MCC	PPP2R3A
C13orf45	PRB1
RP11-598F7.4	SRSF11
FAM111A	DTX3L
NPR3	EIF3B
KLF2	RSRP1
NCRNA00114	S100B
GSTCD	CAGE1
TBPL1	NDUFV1
ZFP92	ZMYND8
RILPL1	NDUFAF6
GALC	CHCHD8
VEGFA	CCT2
NDUFAF1	BANP
C1QA	MPC1
ARL13B	DDR1
BTG2	SPHK1
A4GALT	SDR39U1
GTDC1	DDX55
ZDHHC6	PHPT1
LST1	RPP21
HOXA5	ATP2A2
ADAP1	ASTE1
RBPJ	TRAPPC9
FST	RAB24
CRYL1	HSPH1
MAGEH1	WBP2
VDAC2	AC003665.1
COBLL1	NIPAL3
SNAP23	U2AF2
RP11-875O11.1	RP11-445F12.1
PRPH	CSNK1G2
RECQL	FBXO38
CDKN2D	VPS52
RAB23	TAF1
MTHFD1L	MAP4
SDCBP	NASP
PPM1K	PAAF1
TPP2	SLC8B1
MBP	RP11-909M7.3
SLPI	KIAA0907
ITIH5	EEF1D
CAPZA2	pri-3-hsa-mir-4771-2
ANKRD44	IQCB1
HBA1	PRELID3B
P3H2	ACAD9
SCAI	CATG00000044356.1
AC141928.1	NDUFAF6
CD55	LARP1B
GPC3	EFCAB4A
TSPAN4	TBC1D30
RAP1GDS1	SLC35E2B
PSMD9	CCL19
NR3C1	GLYR1
FCGR2A	MPP7
ENTPD1	DNMT1
INHBA	ATF7
CDKL5	MOK
TCEAL9	ANKRD28
TFPI	UBTF
FAM107B	FAM195B
CRTAC1	LINGO1
NCOA7	CENPE
RP1-186E20.2	B3GALNT1
PCDH7	SAP30L
FAM150B	STK25
QKI	SNORA80C
HPGD	SLITRK6
EIF4EBP2	KIAA0907
NEBL	UPF3A
RAB6A	PRR16
DRAM2	BRAT1
RAP1GAP2	RP11-400D2.3
BRMS1L	IQCK
RCSD1	TRIT1
ACTC1	ITGB2
ARID4A	ZDHHC15
GULP1	FCGBP
UACA	ACTR3C
CRIP2	MPDU1
MICU3	BANP
POMC	RP11-373D17.1
NAA20	GFRA2
EIF2A	HSP90AA1
RRAGA	CLEC16A
LAMA4	AMT
KRTAP10-5	MAP3K7
CALM3	OXR1
SMIM13	SZRD1
PPTC7	STX4
PAFAH1B1	RNF217
ZCCHC24	PTPMT1
VEGFC	GTF2I
BNIP2	YPEL3
ACOT9	pri-3-hsa-mir-6782
MYO15A	MBD1
NEXN	DRG2
MGST3	PLCH1
pri-3-hsa-mir-12114	hsa-mir-6793
ATP2C1	C2CD3
SCEL	MMP9
MAP7D1	HMGCL
TWSG1	GNG5
TCF12	LTV1
CFLAR	NOL3
MRPL14	SREBF2
S1PR2	DEDD2
FEM1A	MYH9
TMBIM1	TMEM159
MSR1	H2AFY2
PDE2A	CCDC82
LEPR	RRAGB
RAP1B	DNALI1
CD58	ATRN
AKAP11	UBE2J2
KLF10	CATG00000038365.1
ANXA5	ACP6
SSPN	CCDC41
PBX1	CDC42EP1
N4BP2L2	CATG00000040370.1
RAP1B	NUP153
VAMP1	WBP1
MYH11	DACT2
OLR1	EPHA1
PF4	UCKL1
TMEM204	GAD1
ARL5B	FOXP4
SPDL1	NET1
FUOM	CREBBP
PLCB4	E2F5
MIR22HG	ZMYND8
CD2	RP1-315G1.3
ARHGAP28	NTMT1
TM2D1	RP11-373A9.3
ZNF426	WNK1
MEIS2	ATP6V1E2
PDS5B	PRPF4B
LPCAT2	TMUB2
ANKRD29	CCDC22
PGAP1	AGPHD1
AMD1	HYOU1
HIPK4	MOK
MRPS18C	RAD23B
LOC643733	LRIF1
MYC	AP001271.4
EPB41L3	BCAR3
LRRC38	CSRP1
ROCK2	RPL8
COPS2	CYTOR
SOX5	RAMP1
SLC6A2	CHTOP
NDRG4	GRTP1
CMTM7	pri-3-hsa-mir-4737
PILRA	pri-3-hsa-mir-3186
PPP1R8	KLHDC4
CDKL1	ERCC6
PKN1	TMEM131
PNP	MFSD12
MT1IP	REXO4
MYC	MAP3K7
SMC1A	S100A13
SERBP1	SMIM20
SLC40A1	SNORD104
SMIM10	EEF1D
RNF130	DBNL
SPRN	ERBB2
AC004945.2	REEP4
ATG3	SLC35B3
TM4SF19-TCTEX1D2	RNU4ATAC
CCDC109B	NT5C2
TIFA	NUF2
pri-3-hsa-mir-7160	CMC4
TUBA1A	GMFG
pri-5-hsa-let-7e	NOP56
KCTD9	HSD17B14
ERLIN1	KIAA1217
PIP4K2A	FAM24B
RP11-773D16.1	ZNHIT1
TPM3	hsa-mir-1972-1
LILRA5	PEX5
FAS	WBSCR22
RRAS	LNX1
JUND	LRRC59
FAM63B	SMG7
SREK1IP1	pri-3-hsa-mir-6769a
SLC7A7	DGKD
NFATC1	MYBPC1
ARHGAP29	PLEKHA5
SRGAP2D	TOR1B
MAP3K20	IKBKB
MAPK3	DTNB
CEP170	INS-IGF2
AOAH	MAPKAP1
CDKN1C	FAM98C
UACA	RSRP1
RP11-884K10.5	SGSM2
CCDC88A	DCP1B
NFKBIZ	ZFP36L1
RQCD1	LETMD1
GOLPH3	B4GALT2
RICTOR	CDK10
MARCKS	FAM160B1
CLIC5	PRRC2C
IL6	MLPH
VWF	PCDH9
ITPRIPL2	CBLN3
TLCD2	SMARCA1
EDN1	ZSCAN32
HTRA1	RP11-798K3.2
NEDD4L	SNRNP35
PLEKHB2	COA6
SNX2	GORAB
ABLIM1	CARF
CEP170	pri-5-hsa-mir-205
LAMA4	CTCF
EPB41L5	CD6
CATG00000098669.1	BAX
RABEP1	HMGN3
TMEM9B	EPC2
RNASEK-C17orf49	OSMR
INMT	MTBP
BCAS3	YAP1
UBL3	ZNF782
RTN4	DNMT3A
PSAP	LCLAT1
NFIC	PCYT2
AMY2A	AUTS2
RAP1B	YAP1
IL4	UPF3A
CASP1	ZSCAN16
MBP	CCDC87
KATNA1	SLC27A1
GNLY	FOXP1
COPS2	LOC1720
CD81	EIF4E
MT1IP	ZNF248
CCL14	pri-3-hsa-mir-502
GALC	LMF2
KLF14	PHLDA3
IFNGR1	DENR
CNIH1	RP11-706O15.5
RPL4	C1orf131
RPS28	CATG00000102601.1
GCOM1	C5orf63
SEMA3B	SLC8B1
RP5-839B4.8	SPP1
TSPAN7	HSF4
TNFSF13	CISD3
KIF3C	LTB
SCN1A	PIPOX
SSFA2	TMEM237
ZXDB	GET4
AC062028.1	FHIT
PLXDC2	RP11-112J3.16
COPS4	NSUN4
pri-3-hsa-mir-4789	GTF2IRD1
RNF222	MTUS1
PTGDR	pri-3-hsa-mir-6515
RP1-40E16.9	EPHA10
SSH2	PIGT
MAP2K4	OGDH
ADGRA2	hsa-mir-6726
LAMA4	SEZ6
SHANK3	ANK1
RDX	MOBP
UHRF1BP1L	INTS3
RP11-421L21.3	TRIT1
LEPROTL1	EPB41L3
CLEC7A	NCRNA00105
RNF6	DGKG
FAM175A	TGIF1
PSMB6	SLC22A31
SGK3	EXOC2
SP140	TELO2
MTMR9	PARD3
pri-5-hsa-mir-7162	TGM7
ATG10	HOMER2
GRASP	MRPS34
SEMA5A	ZC3H12D
ACE	MED29
TRAPPC2	HECTD1
ADD1	AC012074.2
IL6ST	DUOXA1
SYDE1	GLYR1
CRAT	MYCNOS
METRNL	hsa-mir-4513
MAX	MSANTD2
TOMM5	RP11-165J3.6
VPS11	RSRC1
DNAJB1	RFXAP
PSMA3	RP11-345M22.1
PHLDB2	LONP1
FGFR1	AGO2
EHD3	CEACAM1
PTPRC	CCDC174
RRAS2	SULF1
WDR44	COX20
RGS5	COL10A1
GTDC1	ASCC2
SNX3	TBCE
HIGD1A	RP11-231C18.3
WNT3A	EFNA1
CFLAR	NCAPH2
CKS2	RP11-81A22.5
SLC25A37	ABLIM1
MYLK	TMEM220-AS1
MT1IP	ZNF76
LIMCH1	PTGR2
ANK3	MYO1E
HSD11B1	SHBG
MARCO	PPP2R2B
ZNF33A	CNR1
NAA50	TMEM234
EIF2B3	IKBKE
EPB41L2	FMN1
AKR1C2	RP3-395M20.2
PITPNA	TSC2
TPGS2	CD5
PPP1R15B	CTD-2008N3.1
EGR1	TMC5
LEPROT	MRPL47
GPBP1	PACS2
FHL1	IFT22
CYP4B1	FAM64A
ADAM10	TRIM39-RPP21
SLC35A1	RTFDC1
GLUD2	DNMT3A
CARNS1	SRSF11
KIF1B	C17orf80
SIK1	TAOK1
ZNF728	pri-3-hsa-mir-1185-1
ECHDC1	ATG13
SMAD4	SEC14L2
CNBP	RNF6
PPP2R5C	MARK3
BAG4	TRIM26
HMGCS2	FASTKD1
COBLL1	CTDP1
RFK	PTPRK
NRBF2	HM13
RP11-141J13.5	IKBKB
CTC-241F20.3	MECP2
SMCR8	CXXC1
HAUS2	C19orf68
SNHG16	PROM2
NPTN	MPP7
CAMLG	hsa-mir-4737
pri-5-hsa-mir-5193	KRTCAP3
RNF130	RIOK1
ALOX5	MR1
FAM92A1	SPDYE5
GLIPR2	GTF2IRD1
CALM2	GUCA1B
ARPC2	WDR19
HLA-DOA	ZNF556
CATG00000071673.1	GFRA1
LAMC2	BLNK
KLHL17	PDCL3
BRI3	FAM50A
GABARAP	ECHDC1
FAM63B	MLST8
FGFBP1	DMXL1
MAL	STAT3
GOLGA7	TMEM263
PDE3B	BLNK
C1QB	WDR27
NUCB1	PLPP5
PEBP4	XBP1
ZNF649	PKNOX1
TACC1	NCKAP1
ZNF438	MED25
RP11-382A20.3	OXLD1
RRAS2	SDF4
FGFR1	PHB
DOK6	FLNB
RP11-5N23.2	LPIN3
TXN	PUSL1
COX4I1	NEAT1
ARHGAP6	CRELD2
CEACAM3	RASEF
KNCN	ADRM1
ACAT1	MIR100HG
FLRT3	RP11-419C5.1
RAC3	CTB-133G6.1
A2M	AP1M2
NLRP3	FOXRED1
XXbac-BPGBPG55C20.4	PPP6R3
CARD8	PCSK7
RCN2	CDC34
TMEM192	PLEKHH3
KLF6	ANKRD50
SRSF5	ACSL5
GPX3	CATG00000113630.1
ARRB2	RSBN1L
PRKAR1B	HMGN3
GCOM1	PARM1
TBC1D23	THOC6
ANAPC16	DKC1
USP12	hsa-mir-4748
ANKRD28	HIVEP1
LEPROT	LZIC
JAM2	DNAJB6
GNAI1	TUBG2
LMCD1	ABC12-49244600F4.3
ADRA1D	DNMT3A
FAM96A	CLCN3
CD86	FGFR1OP
CCDC80	EIF2AK3
MIDN	TMUB2
SFRP5	TTC17
CYSTM1	ARHGAP22
SRPX	NCOA6
MICU1	SNORA59B
RP4-714D9.5	MLPH
CPT1A	MAP1LC3A
FRY	TRIM33
LYST	RASGRP1
H2AFY	NSUN2
DIAPH2	ELMOD3
MXD4	SERPINB11
LDB2	PHIP
NUMB	KIF23
BORA	TCF12
GAB1	CNTROB
C16orf54	BNIP1
SH3KBP1	ZSCAN18
RAP2A	RP11-834C11.14
NIPSNAP3A	TLCD1
FUOM	hsa-mir-6796
NFKB1	SOX2
EIF4A1	SFPQ
CTD-2410N18.4	ATG13
ABCG2	UPF2
SNRPB2	ZNF544
SCARB2	MRPL21
TMEM70	DNM1L
FOLH1	MED11
EIF1B	pri-5-hsa-mir-6850
NANS	pri-3-hsa-mir-4262
RBM43	ZNF784
GLRX	HLTF
RBMS2	EIF4G3
RPL35A	C11orf98
REEP3	CGN
ANXA2	RP11-358M11.2
STXBP6	MTFR1L
FOXN3	ZNF184
CACNG4	OS9
CFHR3	hsa-mir-523
SPCS3	CCDC191
GALC	PHKG2
CYP27A1	TSC2
CTSS	APAF1
MPC1	CGGBP1
PFKFB3	44628
RAB11FIP1	MRVI1
RAB10	MADD
ZSWIM6	ANP32E
CD300LG	LSR
GIMAP2	CUEDC1
CAV1	KRI1
ABHD6	HNF4A
SEC11A	RBM28
ACTR2	ARHGDIB
CTD-2060L22.1	KMT2E
PDHA1	DNMT3A
DYNC1LI1	FRMPD4
CACNA2D3	RAPGEF5
C1QTNF9B	GCA
DKK3	CATG00000032923.1
EXTL2	PDE9A
AMICA1	FNBP1L
ACE	SAMD12
NDUFS1	ARSA
AP1AR	EIF3J
CHPT1	FASTKD1
HEXB	DDX19A
KDSR	MLH1
NDUFV2	RPN2
NCOA1	PTX4
CNBP	NCS1
CAB39	BEX2
CD55	PSORS1C3
LGALS3	ZDHHC14
ZNF236	FOXL2
POGK	CCDC140
SHISA5	GSE1
SGMS2	PTPN12
NEO1	TARBP1
NXT1	PI4KB
RWDD1	MGME1
ATP6AP2	KEL
PTAFR	PABPN1
RP11-15E18.4	CLECL1
MGP	THAP3
PTPRS	VPS13B
CATG00000015306.1	SMPD2
ZFP1	NDUFB11
KB-1572G7.1	ZDHHC23
DNPEP	ATAD3C
PTPRB	FAM117B
EVA1C	CTBP1-AS1
CENPC	EIF4ENIF1
FRAT2	SLC25A16
CCNDBP1	TK1
CAPN9	LPIN2
ZNF277	SHANK2
DUSP14	APOBEC3C
pri-3-hsa-mir-4293	TRMT1
PSMB6	DMAP1
MBOAT2	ZXDC
BEND7	PHAX
MAP3K11	ATXN2L
ETV4	BCKDHB
CCL3L1	TLE3
RPL10L	MRGBP
GINM1	ATP8B1
CITED2	CFAP20
FGFR2	PCIF1
ACOT1	UBE2I
LINC01279	SAMD12
RNF149	EIF3B
SLC8A1	MUC1
TMEM100	LUC7L
BCAT1	ZNF319
YBX3	CATG00000106275.1
BTD	TMUB1
CASP1	MARK2
CYGB	RAB34
